customer_id,Recency,Frequency,Monetary,R,F,M,Segment
C000344,70,4,2137.54,4,2,4,Regular
C000345,39,4,1003.56,4,2,2,Regular
C000346,151,3,1139.23,2,1,2,At Risk
C000347,670,2,2594.2999999999997,1,1,4,At Risk
C000348,49,3,1183.81,4,1,2,Regular
C000349,17,8,3047.36,5,5,5,VIP
C000350,91,7,3279.58,3,4,5,Loyal
C000351,12,14,7808.19,5,5,5,VIP
C000352,4,6,3519.91,5,4,5,VIP
C000353,265,4,819.33,1,2,1,At Risk
C000354,29,2,1863.0,5,1,3,Regular
C000355,641,2,1385.3600000000001,1,1,3,At Risk
C000356,5,4,1228.91,5,2,2,Regular
C000357,2,8,2145.18,5,5,4,VIP
C000358,209,4,1262.06,2,2,2,At Risk
C000359,67,7,4675.29,4,4,5,VIP
C000360,34,8,930.63,4,5,2,VIP
C000361,187,2,550.04,2,1,1,At Risk
C000362,22,2,303.88,5,1,1,Regular
C000363,37,6,5018.59,4,4,5,VIP
C000364,22,6,2968.11,5,4,5,VIP
C000365,73,5,636.69,4,3,1,Loyal
C000366,76,2,254.42,4,1,1,Regular
C000367,164,3,336.21000000000004,2,1,1,At Risk
C000368,34,7,746.4,4,4,1,VIP
C000369,266,3,2637.82,1,1,4,At Risk
C000370,32,1,236.19,5,1,1,Regular
C000371,38,2,717.8,4,1,1,Regular
C000372,409,4,2840.71,1,2,5,At Risk
C000373,143,5,1175.0,2,3,2,At Risk
C000374,29,4,1383.44,5,2,3,Regular
C000375,22,9,4067.77,5,5,5,VIP
C000376,163,4,2237.51,2,2,4,At Risk
C000377,253,4,733.15,1,2,1,At Risk
C000378,63,7,2231.83,4,4,4,VIP
C000379,26,5,1927.96,5,3,3,Loyal
C000380,126,4,1392.25,3,2,3,Regular
C000381,4,4,2675.08,5,2,4,Regular
C000382,121,4,1883.92,3,2,3,Regular
C000383,72,3,2247.47,4,1,4,Regular
C000384,172,6,2280.2200000000003,2,4,4,At Risk
C000385,61,4,2057.0,4,2,4,Regular
C000386,6,4,1179.9099999999999,5,2,2,Regular
C000387,87,3,1297.43,3,1,2,Regular
C000388,57,3,330.06,4,1,1,Regular
C000389,129,6,2077.87,3,4,4,Loyal
C000390,30,10,3353.03,5,5,5,VIP
C000391,63,6,1368.6100000000001,4,4,3,VIP
C000392,75,6,1608.52,4,4,3,VIP
C000393,47,5,1415.5,4,3,3,Loyal
C000394,42,5,1184.8400000000001,4,3,2,Loyal
C000395,113,7,1308.82,3,4,2,Loyal
C000396,75,8,2332.17,4,5,4,VIP
C000397,619,1,54.0,1,1,1,At Risk
C000398,40,6,3873.05,4,4,5,VIP
C000399,157,5,2021.6100000000001,2,3,4,At Risk
C000400,60,3,493.55,4,1,1,Regular
C000401,292,3,509.93,1,1,1,At Risk
C000402,15,7,2905.74,5,4,5,VIP
C000403,4,5,1978.71,5,3,4,Loyal
C000404,21,9,3507.0,5,5,5,VIP
C000406,142,4,1096.06,2,2,2,At Risk
C000407,5,9,1965.62,5,5,4,VIP
C000408,28,4,993.3,5,2,2,Regular
C000409,171,6,2415.77,2,4,4,At Risk
C000410,76,4,2451.7000000000003,4,2,4,Regular
C000411,57,5,2433.78,4,3,4,Loyal
C000412,88,7,1870.8400000000001,3,4,3,Loyal
C000413,340,5,2946.27,1,3,5,At Risk
C000414,89,5,1979.5900000000001,3,3,4,Loyal
C000415,52,6,2659.62,4,4,4,VIP
C000416,110,8,3670.17,3,5,5,Loyal
C000417,125,6,1734.8400000000001,3,4,3,Loyal
C000418,702,2,670.0899999999999,1,1,1,At Risk
C000419,87,4,2009.8899999999999,3,2,4,Regular
C000420,270,4,1565.9899999999998,1,2,3,At Risk
C000421,68,4,881.0999999999999,4,2,2,Regular
C000422,45,3,394.52,4,1,1,Regular
C000423,101,10,4219.62,3,5,5,Loyal
C000424,379,5,2312.36,1,3,4,At Risk
C000425,3,10,3573.33,5,5,5,VIP
C000426,39,5,3294.27,4,3,5,Loyal
C000427,29,5,1869.8400000000001,5,3,3,Loyal
C000428,178,4,1916.77,2,2,3,At Risk
C000429,241,5,3083.44,1,3,5,At Risk
C000430,64,8,3493.63,4,5,5,VIP
C000431,262,5,1862.0,1,3,3,At Risk
C000432,234,6,1656.1100000000001,2,4,3,At Risk
C000433,58,4,718.73,4,2,1,Regular
C000434,45,8,7007.63,4,5,5,VIP
C000435,43,4,805.41,4,2,1,Regular
C000436,312,2,442.46000000000004,1,1,1,At Risk
C000437,23,5,1384.1299999999999,5,3,3,Loyal
C000438,2,8,2138.47,5,5,4,VIP
C000439,185,6,1891.24,2,4,3,At Risk
C000440,177,5,1379.49,2,3,3,At Risk
C000441,178,4,3084.01,2,2,5,At Risk
C000443,76,5,1997.99,4,3,4,Loyal
C000444,112,6,2602.47,3,4,4,Loyal
C000445,93,7,2960.17,3,4,5,Loyal
C000446,170,6,1623.4,2,4,3,At Risk
C000447,94,5,2254.66,3,3,4,Loyal
C000448,93,6,2811.61,3,4,5,Loyal
C000449,31,6,1793.3899999999999,5,4,3,VIP
C000450,25,4,1080.81,5,2,2,Regular
C000451,16,5,1329.41,5,3,2,Loyal
C000452,167,6,2758.33,2,4,5,At Risk
C000453,167,5,1449.35,2,3,3,At Risk
C000454,329,3,607.07,1,1,1,At Risk
C000455,3,5,549.5699999999999,5,3,1,Loyal
C000456,11,7,1646.6399999999999,5,4,3,VIP
C000457,217,1,28.86,2,1,1,At Risk
C000458,142,4,711.73,2,2,1,At Risk
C000459,2,5,3356.16,5,3,5,Loyal
C000460,105,12,5843.79,3,5,5,Loyal
C000461,29,4,1495.9099999999999,5,2,3,Regular
C000462,108,3,2658.58,3,1,4,Regular
C000463,80,4,1700.76,3,2,3,Regular
C000464,345,10,2278.06,1,5,4,At Risk
C000465,48,4,3348.56,4,2,5,Regular
C000466,82,6,1551.13,3,4,3,Loyal
C000467,272,4,524.46,1,2,1,At Risk
C000468,210,9,5126.13,2,5,5,At Risk
C000469,72,8,4250.47,4,5,5,VIP
C000470,13,8,1687.27,5,5,3,VIP
C000471,147,1,156.22,2,1,1,At Risk
C000472,481,6,2628.9,1,4,4,At Risk
C000473,119,3,686.4,3,1,1,Regular
C000474,151,3,3222.08,2,1,5,At Risk
C000475,97,4,660.01,3,2,1,Regular
C000476,404,2,347.68,1,1,1,At Risk
C000477,217,2,1195.15,2,1,2,At Risk
C000478,103,4,2512.92,3,2,4,Regular
C000479,70,4,692.81,4,2,1,Regular
C000480,247,1,83.07,1,1,1,At Risk
C000481,14,9,3039.4300000000003,5,5,5,VIP
C000482,95,6,1465.73,3,4,3,Loyal
C000483,346,2,1096.4,1,1,2,At Risk
C000484,15,9,1717.18,5,5,3,VIP
C000485,191,3,1117.07,2,1,2,At Risk
C000486,38,6,2597.39,4,4,4,VIP
C000487,251,4,974.77,1,2,2,At Risk
C000488,108,7,2748.61,3,4,5,Loyal
C000489,193,6,1418.74,2,4,3,At Risk
C000490,33,6,2525.79,5,4,4,VIP
C000491,158,2,187.48000000000002,2,1,1,At Risk
C000492,179,1,290.54,2,1,1,At Risk
C000493,36,5,674.87,4,3,1,Loyal
C000494,24,7,2457.8,5,4,4,VIP
C000495,44,5,1789.09,4,3,3,Loyal
C000496,199,8,2336.1000000000004,2,5,4,At Risk
C000497,57,6,2408.47,4,4,4,VIP
C000498,179,2,462.62,2,1,1,At Risk
C000499,450,1,98.19,1,1,1,At Risk
C000500,138,6,5110.35,3,4,5,Loyal
C000501,567,1,181.59,1,1,1,At Risk
C000502,160,2,1126.02,2,1,2,At Risk
C000503,47,6,1840.77,4,4,3,VIP
C000504,36,1,601.92,4,1,1,Regular
C000505,26,5,1613.92,5,3,3,Loyal
C000506,79,3,1661.69,3,1,3,Regular
C000507,580,3,1653.52,1,1,3,At Risk
C000508,96,4,1320.6100000000001,3,2,2,Regular
C000509,235,4,1263.82,2,2,2,At Risk
C000510,9,5,1391.6899999999998,5,3,3,Loyal
C000511,94,7,1670.22,3,4,3,Loyal
C000512,16,11,4948.9800000000005,5,5,5,VIP
C000513,56,4,1477.96,4,2,3,Regular
C000514,123,5,1381.48,3,3,3,Loyal
C000515,159,4,2111.47,2,2,4,At Risk
C000516,202,2,332.87,2,1,1,At Risk
C000517,79,6,1779.8200000000002,3,4,3,Loyal
C000518,128,5,1606.9,3,3,3,Loyal
C000519,398,3,1577.21,1,1,3,At Risk
C000520,42,6,2732.37,4,4,5,VIP
C000521,31,5,1721.0900000000001,5,3,3,Loyal
C000522,227,4,986.25,2,2,2,At Risk
C000523,590,2,58.37,1,1,1,At Risk
C000524,169,5,1141.26,2,3,2,At Risk
C000525,366,2,583.68,1,1,1,At Risk
C000526,162,6,1833.25,2,4,3,At Risk
C000527,4,7,2522.46,5,4,4,VIP
C000528,28,7,3445.4,5,4,5,VIP
C000529,184,6,3956.5099999999993,2,4,5,At Risk
C000530,141,5,1074.62,2,3,2,At Risk
C000531,346,1,1307.68,1,1,2,At Risk
C000532,160,8,2315.25,2,5,4,At Risk
C000533,28,9,3245.3500000000004,5,5,5,VIP
C000534,70,7,5176.75,4,4,5,VIP
C000535,9,7,3317.43,5,4,5,VIP
C000536,29,3,798.97,5,1,1,Regular
C000537,328,2,937.64,1,1,2,At Risk
C000538,27,9,2192.42,5,5,4,VIP
C000539,4,7,4705.39,5,4,5,VIP
C000540,31,8,1680.92,5,5,3,VIP
C000541,94,7,2606.4500000000003,3,4,4,Loyal
C000542,113,6,2010.0,3,4,4,Loyal
C000543,65,6,2482.25,4,4,4,VIP
C000544,49,7,1116.96,4,4,2,VIP
C000545,402,4,999.27,1,2,2,At Risk
C000546,40,7,1948.46,4,4,4,VIP
C000547,51,6,1637.3,4,4,3,VIP
C000548,64,3,1109.8899999999999,4,1,2,Regular
C000549,21,6,3735.41,5,4,5,VIP
C000550,10,8,2634.8,5,5,4,VIP
C000551,15,8,5677.18,5,5,5,VIP
C000552,337,6,2043.3700000000001,1,4,4,At Risk
C000553,100,8,3907.94,3,5,5,Loyal
C000554,67,5,2320.3,4,3,4,Loyal
C000555,100,5,2466.9,3,3,4,Loyal
C000556,159,5,1605.8200000000002,2,3,3,At Risk
C000557,176,4,1473.8899999999999,2,2,3,At Risk
C000558,103,9,2879.63,3,5,5,Loyal
C000559,9,6,1014.99,5,4,2,VIP
C000560,49,7,1602.5,4,4,3,VIP
C000561,10,8,2766.4700000000003,5,5,5,VIP
C000562,89,3,1024.21,3,1,2,Regular
C000563,59,4,1547.31,4,2,3,Regular
C000564,52,3,1273.6200000000001,4,1,2,Regular
C000565,167,4,925.0799999999999,2,2,2,At Risk
C000566,87,5,1438.62,3,3,3,Loyal
C000567,60,6,1819.4099999999999,4,4,3,VIP
C000568,342,4,2021.08,1,2,4,At Risk
C000569,555,1,207.64,1,1,1,At Risk
C000570,5,5,2245.65,5,3,4,Loyal
C000571,143,8,2706.14,2,5,4,At Risk
C000572,88,3,683.06,3,1,1,Regular
C000573,68,5,934.03,4,3,2,Loyal
C000574,100,4,3090.48,3,2,5,Regular
C000575,40,4,1843.8600000000001,4,2,3,Regular
C000576,207,3,512.16,2,1,1,At Risk
C000577,418,3,298.15,1,1,1,At Risk
C000578,161,3,389.83,2,1,1,At Risk
C000579,123,10,4588.53,3,5,5,Loyal
C000580,174,3,1759.81,2,1,3,At Risk
C000581,125,9,3792.06,3,5,5,Loyal
C000582,266,4,1343.85,1,2,2,At Risk
C000583,61,5,1814.19,4,3,3,Loyal
C000584,80,3,846.01,3,1,1,Regular
