customer_id,TotalRevenue,AverageOrderValue,PurchaseFrequency,CLV
C024036,5609.5599999999995,1121.9119999999998,5,5609.5599999999995
C016973,5601.34,509.2127272727273,11,5601.34
C018277,5595.33,559.533,10,5595.33
C016493,5591.95,698.99375,8,5591.95
C021663,5590.18,931.6966666666667,6,5590.18
C005614,5585.6,620.6222222222223,9,5585.6
C004604,5575.11,696.88875,8,5575.11
C012295,5569.62,696.2025,8,5569.62
C016643,5556.51,555.6510000000001,10,5556.51
C024225,5548.71,616.5233333333333,9,5548.71
C024137,5540.42,503.67454545454547,11,5540.42
C014307,5533.2699999999995,614.8077777777777,9,5533.2699999999995
C009696,5527.69,789.67,7,5527.69
C010824,5526.25,789.4642857142857,7,5526.25
C019249,5524.38,613.82,9,5524.38
C010725,5513.0599999999995,1102.6119999999999,5,5513.0599999999995
C010422,5509.46,787.0657142857143,7,5509.46
C015556,5505.64,917.6066666666667,6,5505.64
C023589,5503.33,611.4811111111111,9,5503.33
C012145,5503.15,458.5958333333333,12,5503.15
C019228,5500.83,785.8328571428572,7,5500.83
C002121,5491.62,686.4525,8,5491.62
C012551,5491.15,499.19545454545454,11,5491.15
C012730,5490.9800000000005,686.3725000000001,8,5490.9800000000005
C004585,5486.49,609.61,9,5486.49
C015581,5485.12,548.512,10,5485.119999999999
C010947,5482.1,548.21,10,5482.1
C013562,5477.34,782.4771428571429,7,5477.34
C009099,5471.58,1094.316,5,5471.58
C007463,5469.88,683.735,8,5469.88
C011737,5464.4400000000005,607.1600000000001,9,5464.4400000000005
C024903,5454.68,681.835,8,5454.68
C002772,5452.77,778.9671428571429,7,5452.77
C011720,5444.95,544.495,10,5444.95
C019093,5444.599999999999,777.8,7,5444.599999999999
C001191,5440.4400000000005,604.4933333333333,9,5440.4400000000005
C017421,5433.38,776.1971428571429,7,5433.38
C001477,5429.71,904.9516666666667,6,5429.71
C009042,5423.61,542.361,10,5423.61
C003494,5415.54,676.9425,8,5415.54
C005161,5414.75,492.25,11,5414.75
C006380,5407.610000000001,675.9512500000001,8,5407.610000000001
C009252,5403.49,675.43625,8,5403.49
C005998,5395.76,770.8228571428572,7,5395.76
C023458,5393.93,599.3255555555556,9,5393.93
C022215,5387.82,769.6885714285714,7,5387.82
C016217,5374.75,413.4423076923077,13,5374.75
C024201,5372.55,537.255,10,5372.55
C002688,5362.04,487.4581818181818,11,5362.04
C010588,5353.09,892.1816666666667,6,5353.09
C011510,5350.73,891.7883333333333,6,5350.73
C020129,5350.47,668.80875,8,5350.47
C013910,5342.24,445.18666666666667,12,5342.24
C007116,5339.5,485.40909090909093,11,5339.5
C003437,5339.1,533.9100000000001,10,5339.1
C004638,5337.0,593.0,9,5337.0
C013727,5332.79,592.5322222222222,9,5332.79
C000635,5329.05,532.905,10,5329.049999999999
C008865,5326.39,760.9128571428572,7,5326.39
C014419,5324.39,532.4390000000001,10,5324.390000000001
C018302,5323.16,1330.79,4,5323.16
C004459,5322.85,532.2850000000001,10,5322.85
C024618,5321.25,532.125,10,5321.25
C006122,5319.93,664.99125,8,5319.93
C010597,5318.77,483.5245454545455,11,5318.77
C003725,5313.19,442.7658333333333,12,5313.19
C023751,5307.74,589.7488888888888,9,5307.74
C015122,5301.3099999999995,662.6637499999999,8,5301.3099999999995
C024850,5299.8,441.65000000000003,12,5299.8
C007070,5294.9800000000005,588.3311111111111,9,5294.98
C019981,5293.67,588.1855555555555,9,5293.67
C008241,5284.54,528.454,10,5284.539999999999
C012391,5283.13,660.39125,8,5283.13
C008499,5263.69,751.9557142857142,7,5263.69
C017702,5262.83,584.7588888888889,9,5262.83
C005545,5255.24,656.905,8,5255.24
C007300,5249.7300000000005,749.9614285714287,7,5249.7300000000005
C021918,5248.93,477.17545454545456,11,5248.93
C000182,5237.03,581.8922222222222,9,5237.030000000001
C015814,5236.61,402.81615384615384,13,5236.61
C020877,5236.139999999999,523.6139999999999,10,5236.139999999999
C016708,5231.6,653.95,8,5231.6
C016891,5230.88,747.2685714285715,7,5230.88
C000202,5227.73,746.8185714285713,7,5227.73
C016495,5225.46,870.91,6,5225.46
C016618,5224.72,474.9745454545455,11,5224.72
C012171,5223.83,1044.766,5,5223.83
C007101,5221.89,1044.3780000000002,5,5221.890000000001
C020052,5216.77,579.6411111111112,9,5216.77
C000121,5213.04,521.304,10,5213.04
C018488,5211.59,521.159,10,5211.59
C012115,5207.53,347.16866666666664,15,5207.53
C023499,5198.84,577.6488888888889,9,5198.84
C015889,5198.41,577.6011111111111,9,5198.41
C003310,5198.03,649.75375,8,5198.03
C014172,5197.08,519.708,10,5197.08
C016508,5196.24,519.624,10,5196.24
C015310,5196.14,577.348888888889,9,5196.14
C024072,5195.46,649.4325,8,5195.46
C015807,5193.9800000000005,865.6633333333334,6,5193.9800000000005
C014780,5193.4,577.0444444444444,9,5193.4
C010572,5190.53,648.81625,8,5190.53
C005496,5188.5,471.6818181818182,11,5188.5
C011328,5187.9,864.65,6,5187.9
C000716,5179.91,739.9871428571429,7,5179.91
C007986,5179.83,575.5366666666666,9,5179.83
C024637,5177.97,647.24625,8,5177.97
C000534,5176.75,739.5357142857143,7,5176.75
C009302,5174.429999999999,739.2042857142857,7,5174.429999999999
C015491,5174.25,431.1875,12,5174.25
C013547,5168.4,574.2666666666667,9,5168.4
C009527,5162.56,516.2560000000001,10,5162.560000000001
C023953,5152.63,515.263,10,5152.63
C016216,5152.41,736.0585714285714,7,5152.41
C005948,5152.08,736.0114285714286,7,5152.08
C006668,5149.5,643.6875,8,5149.5
C001891,5147.32,467.9381818181818,11,5147.32
C005607,5147.3099999999995,857.8849999999999,6,5147.3099999999995
C022058,5143.89,642.98625,8,5143.89
C014091,5141.91,734.5585714285714,7,5141.91
C002209,5141.88,571.32,9,5141.88
C007038,5134.55,641.81875,8,5134.55
C015513,5133.05,466.64090909090913,11,5133.05
C010734,5129.79,569.9766666666667,9,5129.79
C017736,5129.61,641.20125,8,5129.61
C000468,5126.13,569.57,9,5126.13
C013858,5124.27,854.0450000000001,6,5124.27
C001344,5123.52,731.9314285714287,7,5123.52
C013909,5122.97,569.218888888889,9,5122.97
C024792,5120.73,853.4549999999999,6,5120.73
C011889,5117.37,465.2154545454545,11,5117.37
C010980,5114.54,639.3175,8,5114.54
C012500,5110.9800000000005,730.1400000000001,7,5110.9800000000005
C000500,5110.35,851.725,6,5110.35
C009162,5105.280000000001,729.3257142857144,7,5105.280000000001
C010618,5103.56,567.0622222222223,9,5103.560000000001
C010201,5097.68,637.21,8,5097.68
C010767,5089.5,565.5,9,5089.5
C014964,5088.01,508.80100000000004,10,5088.01
C010623,5083.14,508.314,10,5083.14
C010075,5083.04,564.7822222222222,9,5083.04
C020809,5082.55,564.7277777777778,9,5082.55
C001384,5081.5599999999995,725.9371428571428,7,5081.5599999999995
C020350,5078.8,725.5428571428572,7,5078.8
C008521,5078.650000000001,634.8312500000001,8,5078.650000000001
C015378,5078.48,1269.62,4,5078.48
C003427,5077.29,634.66125,8,5077.29
C002622,5075.27,634.40875,8,5075.27
C011789,5074.43,1014.8860000000001,5,5074.43
C006556,5062.3,506.23,10,5062.3
C019320,5061.85,723.1214285714286,7,5061.85
C018546,5061.82,506.18199999999996,10,5061.82
C013741,5058.67,843.1116666666667,6,5058.67
C019257,5058.15,722.592857142857,7,5058.15
C000316,5046.68,720.9542857142858,7,5046.68
C019969,5044.18,720.5971428571429,7,5044.18
C016889,5043.92,560.4355555555555,9,5043.92
C003572,5042.82,630.3525,8,5042.82
C003281,5038.55,629.81875,8,5038.55
C018161,5038.22,458.02000000000004,11,5038.22
C020116,5037.41,559.7122222222222,9,5037.41
C013502,5037.26,1007.452,5,5037.26
C013194,5036.93,719.5614285714286,7,5036.93
C018042,5035.99,719.4271428571428,7,5035.99
C000173,5035.84,1007.168,5,5035.84
C016008,5027.780000000001,502.7780000000001,10,5027.780000000001
C010362,5025.5,558.3888888888889,9,5025.5
C009531,5024.46,1004.892,5,5024.46
C012648,5022.66,418.555,12,5022.66
C007853,5021.58,627.6975,8,5021.58
C007486,5020.52,717.2171428571429,7,5020.52
C000363,5018.59,836.4316666666667,6,5018.59
C020295,5012.97,716.1385714285715,7,5012.97
C008390,5011.88,455.62545454545455,11,5011.88
C006350,5010.81,385.4469230769231,13,5010.81
C013298,4999.52,833.2533333333334,6,4999.52
C015902,4997.98,555.3311111111111,9,4997.98
C021652,4997.83,713.9757142857143,7,4997.83
C011701,4994.3,624.2875,8,4994.3
C002347,4992.9,554.7666666666667,9,4992.9
C001030,4992.55,624.06875,8,4992.55
C000808,4991.589999999999,554.6211111111111,9,4991.59
C008353,4990.6900000000005,554.5211111111112,9,4990.6900000000005
C010847,4988.52,498.85200000000003,10,4988.52
C002285,4988.09,997.618,5,4988.09
C009145,4987.02,383.6169230769231,13,4987.02
C014907,4985.25,623.15625,8,4985.25
C003217,4985.0599999999995,415.4216666666666,12,4985.0599999999995
C023698,4984.7300000000005,453.15727272727275,11,4984.7300000000005
C001888,4982.5,622.8125,8,4982.5
C008936,4981.51,711.6442857142857,7,4981.51
C001909,4980.83,553.4255555555555,9,4980.83
C015734,4979.7699999999995,553.3077777777777,9,4979.7699999999995
C016549,4979.07,995.814,5,4979.07
C008970,4978.33,553.1477777777777,9,4978.33
C019311,4978.02,622.2525,8,4978.02
C017258,4969.8,828.3000000000001,6,4969.8
C004456,4964.65,827.4416666666666,6,4964.65
C022672,4961.07,708.7242857142857,7,4961.07
C013476,4956.65,619.58125,8,4956.65
C020582,4956.38,550.7088888888889,9,4956.379999999999
C008498,4952.64,619.08,8,4952.64
C012344,4949.23,549.9144444444444,9,4949.23
C000512,4948.9800000000005,449.90727272727275,11,4948.9800000000005
C010674,4948.03,706.8614285714285,7,4948.03
C011499,4942.94,549.2155555555555,9,4942.94
C007869,4940.67,380.0515384615385,13,4940.67
C016455,4937.9400000000005,493.79400000000004,10,4937.9400000000005
C011833,4936.79,617.09875,8,4936.79
C009146,4934.37,448.5790909090909,11,4934.37
C005272,4933.5,493.35,10,4933.5
C005462,4926.54,985.308,5,4926.54
C020099,4925.34,615.6675,8,4925.34
C006970,4924.57,703.51,7,4924.57
C012108,4920.15,546.6833333333333,9,4920.15
C006804,4917.63,546.4033333333333,9,4917.63
C006508,4916.2,409.68333333333334,12,4916.2
C022806,4915.33,983.066,5,4915.33
C010138,4912.92,818.82,6,4912.92
C017468,4910.5,982.1,5,4910.5
C017855,4906.43,700.9185714285715,7,4906.43
C012581,4906.01,817.6683333333334,6,4906.01
C019606,4905.2,700.7428571428571,7,4905.2
C000896,4904.84,613.105,8,4904.84
C018935,4903.54,408.62833333333333,12,4903.54
C006936,4901.44,490.14399999999995,10,4901.44
C019116,4900.54,445.50363636363636,11,4900.54
C004376,4900.18,445.4709090909091,11,4900.18
C022397,4899.91,489.991,10,4899.91
C013417,4899.41,544.3788888888889,9,4899.41
C022000,4891.740000000001,698.82,7,4891.740000000001
C011966,4889.900000000001,698.5571428571429,7,4889.900000000001
C011301,4887.17,698.1671428571428,7,4887.17
C021925,4885.79,488.579,10,4885.79
C003843,4880.38,697.1971428571429,7,4880.38
C023873,4879.81,813.3016666666667,6,4879.81
C022620,4879.64,542.1822222222222,9,4879.639999999999
C009484,4879.43,542.1588888888889,9,4879.43
C012113,4878.08,542.0088888888889,9,4878.08
C020929,4876.18,696.5971428571429,7,4876.18
C022751,4875.71,443.24636363636364,11,4875.71
C009124,4870.4,487.03999999999996,10,4870.4
C010842,4865.89,695.1271428571429,7,4865.89
C002778,4861.61,486.16099999999994,10,4861.61
C009937,4861.2300000000005,405.1025,12,4861.2300000000005
C011586,4858.06,539.7844444444445,9,4858.06
C006610,4853.03,606.62875,8,4853.03
C002586,4852.86,539.2066666666666,9,4852.86
C018106,4851.11,485.111,10,4851.11
C003142,4846.35,538.4833333333333,9,4846.35
C023417,4839.75,604.96875,8,4839.75
C013932,4836.78,372.06,13,4836.78
C011404,4836.05,604.50625,8,4836.05
C000779,4835.65,967.1299999999999,5,4835.65
C008425,4833.88,604.235,8,4833.88
C009848,4832.86,536.9844444444444,9,4832.86
C002175,4830.68,439.1527272727273,11,4830.68
C006190,4824.56,438.59636363636366,11,4824.56
C021615,4820.05,602.50625,8,4820.05
C017235,4819.55,963.9100000000001,5,4819.55
C021348,4819.33,438.1209090909091,11,4819.33
C014930,4818.7,535.411111111111,9,4818.699999999999
C001232,4818.38,401.5316666666667,12,4818.38
C017140,4816.76,602.095,8,4816.76
C015006,4816.28,802.7133333333333,6,4816.28
C023027,4813.64,437.6036363636364,11,4813.64
C024060,4811.12,801.8533333333334,6,4811.12
C005036,4809.22,961.844,5,4809.22
C013690,4809.1,687.0142857142857,7,4809.1
C019753,4808.78,480.878,10,4808.78
C009648,4808.47,534.2744444444445,9,4808.47
C013238,4807.01,801.1683333333334,6,4807.01
C024740,4803.99,686.2842857142857,7,4803.99
C008021,4801.03,960.2059999999999,5,4801.03
C003363,4800.59,800.0983333333334,6,4800.59
C014251,4800.04,685.72,7,4800.04
C024094,4799.94,599.9925,8,4799.94
C003926,4799.91,1199.9775,4,4799.91
C021779,4799.77,1199.9425,4,4799.77
C024419,4794.53,599.31625,8,4794.53
C015244,4792.0599999999995,342.28999999999996,14,4792.0599999999995
C008251,4789.82,598.7275,8,4789.82
C021142,4787.92,598.49,8,4787.92
C006291,4787.78,531.9755555555555,9,4787.78
C017022,4787.03,683.8614285714285,7,4787.03
C018164,4784.9400000000005,598.1175000000001,8,4784.9400000000005
C024966,4781.0,597.625,8,4781.0
C015320,4779.98,477.99799999999993,10,4779.98
C018728,4777.58,597.1975,8,4777.58
C017828,4776.5599999999995,530.7288888888888,9,4776.5599999999995
C002281,4768.13,529.7922222222222,9,4768.13
C024095,4767.25,397.2708333333333,12,4767.25
C005827,4766.6900000000005,953.3380000000001,5,4766.6900000000005
C002224,4755.0,792.5,6,4755.0
C009279,4750.88,527.8755555555556,9,4750.88
C022182,4750.3099999999995,678.6157142857143,7,4750.3099999999995
C018547,4749.76,791.6266666666667,6,4749.76
C017103,4747.62,474.762,10,4747.62
C017665,4747.61,593.45125,8,4747.61
C014157,4746.33,431.48454545454547,11,4746.33
C002288,4745.96,790.9933333333333,6,4745.96
C004309,4744.85,593.10625,8,4744.85
C014858,4744.25,677.75,7,4744.25
C000875,4743.22,592.9025,8,4743.22
C005631,4740.21,790.035,6,4740.21
C010748,4739.3,430.8454545454546,11,4739.3
C007544,4739.07,473.907,10,4739.07
C019271,4737.87,676.8385714285714,7,4737.87
C020719,4737.67,592.20875,8,4737.67
C018179,4737.07,676.7242857142857,7,4737.07
C013906,4736.94,789.4899999999999,6,4736.94
C017484,4735.25,591.90625,8,4735.25
C020609,4732.92,430.26545454545453,11,4732.92
C002393,4727.33,525.2588888888889,9,4727.33
C006199,4726.86,472.686,10,4726.86
C016248,4725.72,525.08,9,4725.72
C021955,4722.35,944.47,5,4722.35
C012156,4720.02,674.2885714285715,7,4720.02
C023208,4719.97,471.997,10,4719.97
C014527,4713.780000000001,942.7560000000001,5,4713.780000000001
C022494,4707.51,523.0566666666667,9,4707.51
C023479,4706.889999999999,313.7926666666666,15,4706.889999999999
C000539,4705.39,672.1985714285714,7,4705.39
C009110,4703.73,587.96625,8,4703.73
C010716,4702.72,522.5244444444445,9,4702.72
C019477,4700.53,522.281111111111,9,4700.53
C023642,4698.87,522.0966666666667,9,4698.87
C020217,4698.24,427.1127272727272,11,4698.24
C001832,4697.39,521.9322222222222,9,4697.389999999999
C007712,4694.6900000000005,670.6700000000001,7,4694.6900000000005
C021879,4690.86,469.08599999999996,10,4690.86
C010599,4690.7,781.7833333333333,6,4690.7
C021632,4690.639999999999,586.3299999999999,8,4690.639999999999
C009449,4690.57,469.05699999999996,10,4690.57
C000099,4690.23,469.02299999999997,10,4690.23
C012444,4686.13,585.76625,8,4686.13
C010109,4684.66,520.5177777777777,9,4684.66
C021465,4684.5199999999995,585.5649999999999,8,4684.5199999999995
C007133,4683.48,520.3866666666667,9,4683.48
C010895,4682.92,668.9885714285714,7,4682.92
C001224,4682.900000000001,468.2900000000001,10,4682.900000000001
C012117,4682.83,585.35375,8,4682.83
C024313,4682.19,585.27375,8,4682.19
C010890,4681.3099999999995,668.7585714285714,7,4681.3099999999995
C015015,4680.59,780.0983333333334,6,4680.59
C006944,4680.33,585.04125,8,4680.33
C019734,4679.9,519.9888888888888,9,4679.9
C023241,4678.37,467.837,10,4678.37
C009190,4678.36,668.3371428571428,7,4678.36
C003473,4677.12,519.68,9,4677.12
C015246,4676.82,467.68199999999996,10,4676.82
C003380,4676.18,668.0257142857143,7,4676.18
C000359,4675.29,667.8985714285715,7,4675.29
C016320,4675.23,667.89,7,4675.23
C016506,4675.22,667.8885714285715,7,4675.22
C006166,4671.530000000001,583.9412500000001,8,4671.530000000001
C001154,4669.5,466.95,10,4669.5
C009707,4668.68,933.7360000000001,5,4668.68
C019338,4668.37,466.837,10,4668.37
C019458,4667.389999999999,777.8983333333332,6,4667.389999999999
C024626,4667.18,777.8633333333333,6,4667.18
C002061,4666.84,466.684,10,4666.84
C001659,4666.84,933.368,5,4666.84
C017190,4665.2699999999995,466.52699999999993,10,4665.2699999999995
C020405,4665.16,933.0319999999999,5,4665.16
C008478,4664.99,666.4271428571428,7,4664.99
C004698,4662.88,582.86,8,4662.88
C018570,4662.37,582.79625,8,4662.37
C000730,4660.19,932.0379999999999,5,4660.19
C023362,4658.43,665.49,7,4658.43
C008876,4657.45,423.4045454545454,11,4657.45
C021159,4656.13,423.2845454545455,11,4656.13
C001366,4656.0199999999995,517.3355555555555,9,4656.0199999999995
C012232,4654.67,465.467,10,4654.67
C009491,4653.93,517.1033333333334,9,4653.93
C010043,4653.23,930.646,5,4653.23
C005723,4651.36,465.13599999999997,10,4651.36
C009355,4651.34,465.134,10,4651.34
C004498,4650.79,516.7544444444444,9,4650.79
C013004,4650.28,422.75272727272727,11,4650.28
C001836,4650.23,664.3185714285713,7,4650.23
C005828,4645.49,580.68625,8,4645.49
C012717,4644.17,663.4528571428572,7,4644.17
C021547,4643.03,580.37875,8,4643.03
C015209,4641.32,464.13199999999995,10,4641.32
C009819,4641.0,421.90909090909093,11,4641.0
C005206,4640.72,662.96,7,4640.72
C005427,4637.15,356.70384615384614,13,4637.15
C011913,4633.93,661.99,7,4633.93
C014879,4632.38,661.7685714285715,7,4632.38
C012872,4631.65,514.6277777777777,9,4631.65
C002943,4630.24,514.4711111111111,9,4630.24
C012613,4628.51,771.4183333333334,6,4628.51
C002145,4625.84,660.8342857142858,7,4625.84
C022033,4623.94,462.39399999999995,10,4623.94
C016534,4623.74,770.6233333333333,6,4623.74
C007192,4623.74,660.5342857142857,7,4623.74
C006700,4622.69,577.83625,8,4622.69
C011930,4618.53,461.85299999999995,10,4618.53
C002826,4616.36,512.9288888888889,9,4616.36
C008568,4614.91,461.491,10,4614.91
C011850,4608.3,512.0333333333333,9,4608.299999999999
C010151,4606.55,418.77727272727276,11,4606.55
C016824,4605.139999999999,657.8771428571428,7,4605.139999999999
C023715,4603.62,767.27,6,4603.62
C006072,4602.7300000000005,767.1216666666668,6,4602.7300000000005
C008494,4600.15,575.01875,8,4600.15
C022473,4599.89,574.98625,8,4599.89
C012656,4599.87,511.09666666666664,9,4599.87
C014743,4598.42,656.9171428571428,7,4598.42
C022395,4597.07,417.9154545454545,11,4597.07
C019148,4596.02,766.0033333333334,6,4596.02
C000579,4588.53,458.85299999999995,10,4588.53
C012895,4585.34,764.2233333333334,6,4585.34
C010410,4584.09,764.015,6,4584.09
C006148,4583.29,654.7557142857142,7,4583.29
C022948,4583.04,763.84,6,4583.04
C008843,4582.35,1145.5875,4,4582.35
C012918,4581.27,763.5450000000001,6,4581.27
C017049,4581.17,572.64625,8,4581.17
C018333,4580.87,508.98555555555555,9,4580.87
C014355,4580.46,572.5575,8,4580.46
C019773,4579.99,1144.9975,4,4579.99
C023799,4578.78,352.21384615384613,13,4578.78
C003698,4575.84,571.98,8,4575.84
C018334,4575.63,415.96636363636367,11,4575.63
C013284,4574.0,508.22222222222223,9,4574.0
C020705,4573.79,571.72375,8,4573.79
C006913,4569.81,652.83,7,4569.81
C023379,4569.29,652.7557142857142,7,4569.29
C011799,4568.54,571.0675,8,4568.54
C001491,4567.73,507.5255555555555,9,4567.73
C010185,4567.34,761.2233333333334,6,4567.34
C001256,4566.66,652.38,7,4566.66
C023296,4566.15,761.025,6,4566.15
C024445,4565.39,652.1985714285714,7,4565.39
C004772,4565.16,456.51599999999996,10,4565.16
C024794,4565.08,913.016,5,4565.08
C017342,4560.0599999999995,651.4371428571428,7,4560.0599999999995
C021552,4556.59,506.2877777777778,9,4556.59
C019977,4554.38,759.0633333333334,6,4554.38
C008803,4554.37,455.437,10,4554.37
C008364,4553.28,758.88,6,4553.28
C004981,4552.44,505.8266666666666,9,4552.44
C021825,4552.219999999999,650.3171428571428,7,4552.219999999999
C022250,4552.03,910.406,5,4552.03
C015754,4551.889999999999,758.6483333333332,6,4551.889999999999
C007585,4551.51,413.7736363636364,11,4551.51
C007274,4547.51,568.43875,8,4547.51
C024934,4547.07,568.38375,8,4547.07
C002941,4546.639999999999,649.5199999999999,7,4546.639999999999
C002196,4545.3,454.53000000000003,10,4545.3
C008252,4544.75,504.97222222222223,9,4544.75
C022321,4544.74,757.4566666666666,6,4544.74
C017826,4544.54,454.454,10,4544.54
C022448,4544.2,413.10909090909087,11,4544.2
